"name","humanDevelopmentIndex","pop2019"
"Gambia","0.4600","2347.7060"
"Guinea","0.4590","12771.2460"
"DR Congo","0.4570","86790.5670"
"Guinea-Bissau","0.4550","1920.9220"
"Yemen","0.4520","29161.9220"
"Eritrea","0.4400","3497.1170"
"Mozambique","0.4370","30366.0360"
"Liberia","0.4350","4937.3740"
"Mali","0.4270","19658.0310"
"Burkina Faso","0.4230","20321.3780"
"Sierra Leone","0.4190","7813.2150"
"Burundi","0.4170","11530.5800"
"Chad","0.4040","15946.8760"
"South Sudan","0.3880","11062.1130"
"Central African Republic","0.3670","4745.1850"
"Niger","0.3540","23310.7150"
"Tuvalu",0,"11.6460"
"Somalia",0,"15442.9050"
